epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.131,1.24676,0.75604,1.06263,0.88946,0.6985,0.78671,0.49409,1.23929,0.66866,1.05486,0.001,0.001,0.001
2,528.394,1.2331,0.73543,1.05752,0.88239,0.709,0.79215,0.50556,1.21857,0.65205,1.04773,0.000905463,0.000905463,0.000905463
3,797.811,1.21129,0.69886,1.04641,0.89421,0.7125,0.80141,0.51449,1.20511,0.62486,1.03269,0.000657963,0.000657963,0.000657963
4,1060.65,1.17587,0.66153,1.03471,0.88297,0.73017,0.81101,0.52234,1.18591,0.60058,1.02726,0.000352037,0.000352037,0.000352037
5,1325.38,1.15891,0.63837,1.02638,0.89575,0.73417,0.81788,0.53331,1.16286,0.573,1.01553,0.000104537,0.000104537,0.000104537
